id,question,answer
2430,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Baner starts at ₹19746/month.
2431,What is the rent for a private room in Baner?,The rent for a executive room in Hinjawadi starts at ₹18804/month.
2432,What is the rent for a shared room in Kharadi?,The rent for a shared room in Kharadi starts at ₹17183/month.
2433,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹17323/month.
2434,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹17141/month.
2435,What is the rent for a private room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹16141/month.
2436,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹15608/month.
2437,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹14993/month.
2438,What is the rent for a executive room in Talwade?,The rent for a shared room in Talwade starts at ₹13795/month.
2439,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹14141/month.
2440,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹13716/month.
2441,What is the rent for a executive room in Talwade?,The rent for a private room in Talwade starts at ₹14382/month.
2442,What is the rent for a shared room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹18309/month.
2443,What is the rent for a private room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹10245/month.
2444,What is the rent for a shared room in Kharadi?,The rent for a shared room in Pimple Saudagar starts at ₹11688/month.
2445,What is the rent for a executive room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹12981/month.
2446,What is the rent for a private room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹14219/month.
2447,What is the rent for a private room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹12727/month.
2448,What is the rent for a shared room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹14468/month.
2449,What is the rent for a executive room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹8438/month.
2450,What is the rent for a executive room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹8862/month.
2451,What is the rent for a shared room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹11646/month.
2452,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹8396/month.
2453,What is the rent for a executive room in Baner?,The rent for a executive room in Hinjawadi starts at ₹11361/month.
2454,What is the rent for a shared room in Kharadi?,The rent for a private room in Kharadi starts at ₹17617/month.
2455,What is the rent for a executive room in Kharadi?,The rent for a executive room in Kharadi starts at ₹19078/month.
2456,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹12332/month.
2457,What is the rent for a private room in Talwade?,The rent for a private room in Talwade starts at ₹18819/month.
2458,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹10875/month.
2459,What is the rent for a private room in Talwade?,The rent for a shared room in Baner starts at ₹12896/month.
2460,What is the rent for a executive room in Baner?,The rent for a executive room in Talwade starts at ₹10951/month.
2461,What is the rent for a shared room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹13204/month.
2462,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Talwade starts at ₹18814/month.
2463,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹14160/month.
2464,What is the rent for a executive room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹17093/month.
2465,What is the rent for a executive room in Baner?,The rent for a shared room in Kharadi starts at ₹12700/month.
2466,What is the rent for a shared room in Kharadi?,The rent for a shared room in Talwade starts at ₹8854/month.
2467,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Baner starts at ₹12038/month.
2468,What is the rent for a shared room in Baner?,The rent for a shared room in Baner starts at ₹8576/month.
2469,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹16898/month.
2470,What is the rent for a shared room in Talwade?,The rent for a shared room in Kharadi starts at ₹11428/month.
2471,What is the rent for a shared room in Kharadi?,The rent for a private room in Talwade starts at ₹17602/month.
2472,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹14305/month.
2473,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹13771/month.
2474,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹14491/month.
2475,What is the rent for a executive room in Kharadi?,The rent for a executive room in Talwade starts at ₹10432/month.
2476,What is the rent for a shared room in Baner?,The rent for a executive room in Baner starts at ₹14468/month.
2477,What is the rent for a private room in Baner?,The rent for a executive room in Hinjawadi starts at ₹12767/month.
2478,What is the rent for a shared room in Baner?,The rent for a shared room in Hinjawadi starts at ₹12002/month.
2479,What is the rent for a executive room in Kharadi?,The rent for a shared room in Talwade starts at ₹15423/month.
2480,What is the rent for a private room in Hinjawadi?,The rent for a private room in Talwade starts at ₹19313/month.
2481,What is the rent for a shared room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹8569/month.
2482,What is the rent for a private room in Baner?,The rent for a private room in Baner starts at ₹11316/month.
2483,What is the rent for a shared room in Baner?,The rent for a shared room in Talwade starts at ₹19832/month.
2484,What is the rent for a shared room in Talwade?,The rent for a private room in Talwade starts at ₹9496/month.
2485,What is the rent for a shared room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹18593/month.
2486,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹10322/month.
2487,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹12019/month.
2488,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹14268/month.
2489,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹15550/month.
2490,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹12138/month.
2491,What is the rent for a shared room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹19692/month.
2492,What is the rent for a shared room in Talwade?,The rent for a executive room in Baner starts at ₹15874/month.
2493,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Hinjawadi starts at ₹19412/month.
2494,What is the rent for a private room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹17570/month.
2495,What is the rent for a shared room in Talwade?,The rent for a executive room in Baner starts at ₹12547/month.
2496,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹10615/month.
2497,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹10363/month.
2498,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Baner starts at ₹19730/month.
2499,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹15253/month.
2500,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹19075/month.
2501,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹19241/month.
2502,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹12344/month.
2503,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹18609/month.
2504,What is the rent for a executive room in Baner?,The rent for a shared room in Baner starts at ₹10908/month.
2505,What is the rent for a shared room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹10786/month.
